wall_time_s,element_id,active_total,active_fresh,active_stale,inactive_total,collision_count,fresh_ratio,quorum_held,cp_frozen,cycle_count
3.603,2,4,4,0,0,0,1.0,1,0,31
3.604,3,4,4,0,0,0,1.0,1,0,31
3.605,4,4,4,0,0,0,1.0,1,0,31
3.712,0,4,4,0,0,0,1.0,1,0,32
3.713,1,4,4,0,0,0,1.0,1,0,32
3.713,2,4,4,0,0,0,1.0,1,0,32
3.714,3,4,4,0,0,0,1.0,1,0,32
3.715,4,4,4,0,0,0,1.0,1,0,32
3.822,0,4,4,0,0,0,1.0,1,0,33
3.823,1,4,4,0,0,0,1.0,1,0,33
3.823,2,4,4,0,0,0,1.0,1,0,33
3.824,3,4,4,0,0,0,1.0,1,0,33
3.825,4,4,4,0,0,0,1.0,1,0,33
3.932,0,4,4,0,0,0,1.0,1,0,34
3.933,1,4,4,0,0,0,1.0,1,0,34
3.933,2,4,4,0,0,0,1.0,1,0,34
3.934,3,4,4,0,0,0,1.0,1,0,34
3.935,4,4,4,0,0,0,1.0,1,0,34
4.042,0,4,4,0,0,0,1.0,1,0,35
4.043,1,4,4,0,0,0,1.0,1,0,35
4.044,2,4,4,0,0,0,1.0,1,0,35
4.044,3,4,4,0,0,0,1.0,1,0,35
4.045,4,4,4,0,0,0,1.0,1,0,35
4.152,0,4,4,0,0,0,1.0,1,0,36
4.153,1,4,4,0,0,0,1.0,1,0,36
4.154,2,4,4,0,0,0,1.0,1,0,36
4.154,3,4,4,0,0,0,1.0,1,0,36
4.155,4,4,4,0,0,0,1.0,1,0,36
4.262,0,4,4,0,0,0,1.0,1,0,37
4.263,1,4,4,0,0,0,1.0,1,0,37
4.263,2,4,4,0,0,0,1.0,1,0,37
4.264,3,4,4,0,0,0,1.0,1,0,37
4.265,4,4,4,0,0,0,1.0,1,0,37
4.372,0,4,4,0,0,0,1.0,1,0,38
4.373,1,4,4,0,0,0,1.0,1,0,38
4.373,2,4,4,0,0,0,1.0,1,0,38
4.374,3,4,4,0,0,0,1.0,1,0,38
4.375,4,4,4,0,0,0,1.0,1,0,38
4.482,0,4,4,0,0,0,1.0,1,0,39
4.483,1,4,4,0,0,0,1.0,1,0,39
4.483,2,4,4,0,0,0,1.0,1,0,39
4.484,3,4,4,0,0,0,1.0,1,0,39
4.485,4,4,4,0,0,0,1.0,1,0,39
4.592,0,4,4,0,0,0,1.0,1,0,40
4.593,1,4,4,0,0,0,1.0,1,0,40
4.594,2,4,4,0,0,0,1.0,1,0,40
4.594,3,4,4,0,0,0,1.0,1,0,40
4.595,4,4,4,0,0,0,1.0,1,0,40
4.702,0,4,4,0,0,0,1.0,1,0,41
4.703,1,4,4,0,0,0,1.0,1,0,41
4.703,2,4,4,0,0,0,1.0,1,0,41
4.704,3,4,4,0,0,0,1.0,1,0,41
4.705,4,4,4,0,0,0,1.0,1,0,41
4.812,0,4,4,0,0,0,1.0,1,0,42
4.813,1,4,4,0,0,0,1.0,1,0,42
4.813,2,4,4,0,0,0,1.0,1,0,42
4.814,3,4,4,0,0,0,1.0,1,0,42
4.815,4,4,4,0,0,0,1.0,1,0,42
4.922,0,4,4,0,0,0,1.0,1,0,43
4.923,1,4,4,0,0,0,1.0,1,0,43
4.923,2,4,4,0,0,0,1.0,1,0,43
4.924,3,4,4,0,0,0,1.0,1,0,43
4.925,4,4,4,0,0,0,1.0,1,0,43
5.032,0,4,4,0,0,0,1.0,1,0,44
5.033,1,4,4,0,0,0,1.0,1,0,44
5.034,2,4,4,0,0,0,1.0,1,0,44
5.034,3,4,4,0,0,0,1.0,1,0,44
5.035,4,4,4,0,0,0,1.0,1,0,44
5.142,0,4,4,0,0,0,1.0,1,0,45
5.143,1,4,4,0,0,0,1.0,1,0,45
5.144,2,4,4,0,0,0,1.0,1,0,45
5.144,3,4,4,0,0,0,1.0,1,0,45
5.145,4,4,4,0,0,0,1.0,1,0,45
5.252,0,4,4,0,0,0,1.0,1,0,46
5.253,1,4,4,0,0,0,1.0,1,0,46
5.254,2,4,4,0,0,0,1.0,1,0,46
5.254,3,4,4,0,0,0,1.0,1,0,46
5.255,4,4,4,0,0,0,1.0,1,0,46
5.362,0,4,4,0,0,0,1.0,1,0,47
5.363,1,4,4,0,0,0,1.0,1,0,47
5.364,2,4,4,0,0,0,1.0,1,0,47
5.364,3,4,4,0,0,0,1.0,1,0,47
5.365,4,4,4,0,0,0,1.0,1,0,47
5.472,0,4,4,0,0,0,1.0,1,0,48
5.473,1,4,4,0,0,0,1.0,1,0,48
5.474,2,4,4,0,0,0,1.0,1,0,48
5.474,3,4,4,0,0,0,1.0,1,0,48
5.475,4,4,4,0,0,0,1.0,1,0,48
5.582,0,4,4,0,0,0,1.0,1,0,49
5.583,1,4,4,0,0,0,1.0,1,0,49
5.584,2,4,4,0,0,0,1.0,1,0,49
5.584,3,4,4,0,0,0,1.0,1,0,49
5.585,4,4,4,0,0,0,1.0,1,0,49
5.692,0,4,4,0,0,0,1.0,1,0,50
5.693,1,4,4,0,0,0,1.0,1,0,50
5.694,2,4,4,0,0,0,1.0,1,0,50
5.694,3,4,4,0,0,0,1.0,1,0,50
5.695,4,4,4,0,0,0,1.0,1,0,50
5.802,0,4,4,0,0,0,1.0,1,0,51
5.803,1,4,4,0,0,0,1.0,1,0,51
5.804,2,4,4,0,0,0,1.0,1,0,51
5.804,3,4,4,0,0,0,1.0,1,0,51
5.805,4,4,4,0,0,0,1.0,1,0,51
5.912,0,4,4,0,0,0,1.0,1,0,52
5.913,1,4,4,0,0,0,1.0,1,0,52
5.914,2,4,4,0,0,0,1.0,1,0,52
5.914,3,4,4,0,0,0,1.0,1,0,52
5.915,4,4,4,0,0,0,1.0,1,0,52
6.022,0,4,4,0,0,0,1.0,1,0,53
6.023,1,4,4,0,0,0,1.0,1,0,53
6.024,2,4,4,0,0,0,1.0,1,0,53
6.024,3,4,4,0,0,0,1.0,1,0,53
6.025,4,4,4,0,0,0,1.0,1,0,53
6.132,0,4,4,0,0,0,1.0,1,0,54
6.133,1,4,4,0,0,0,1.0,1,0,54
6.134,2,4,4,0,0,0,1.0,1,0,54
6.134,3,4,4,0,0,0,1.0,1,0,54
6.135,4,4,4,0,0,0,1.0,1,0,54
6.242,0,4,4,0,0,0,1.0,1,0,55
6.243,1,4,4,0,0,0,1.0,1,0,55
6.244,2,4,4,0,0,0,1.0,1,0,55
6.244,3,4,4,0,0,0,1.0,1,0,55
6.245,4,4,4,0,0,0,1.0,1,0,55
6.352,0,4,4,0,0,0,1.0,1,0,56
6.353,1,4,4,0,0,0,1.0,1,0,56
6.354,2,4,4,0,0,0,1.0,1,0,56
6.354,3,4,4,0,0,0,1.0,1,0,56
6.355,4,4,4,0,0,0,1.0,1,0,56
6.462,0,4,4,0,0,0,1.0,1,0,57
6.463,1,4,4,0,0,0,1.0,1,0,57
6.464,2,4,4,0,0,0,1.0,1,0,57
6.464,3,4,4,0,0,0,1.0,1,0,57
6.465,4,4,4,0,0,0,1.0,1,0,57
6.572,0,4,4,0,0,0,1.0,1,0,58
6.573,1,4,4,0,0,0,1.0,1,0,58
6.574,2,4,4,0,0,0,1.0,1,0,58
6.574,3,4,4,0,0,0,1.0,1,0,58
6.575,4,4,4,0,0,0,1.0,1,0,58
6.682,0,4,4,0,0,0,1.0,1,0,59
6.683,1,4,4,0,0,0,1.0,1,0,59
6.684,2,4,4,0,0,0,1.0,1,0,59
6.684,3,4,4,0,0,0,1.0,1,0,59
6.685,4,4,4,0,0,0,1.0,1,0,59
6.792,0,4,4,0,0,0,1.0,1,0,60
6.793,1,4,4,0,0,0,1.0,1,0,60
6.794,2,4,4,0,0,0,1.0,1,0,60
6.794,3,4,4,0,0,0,1.0,1,0,60
6.795,4,4,4,0,0,0,1.0,1,0,60
6.902,0,4,4,0,0,0,1.0,1,0,61
6.903,1,4,4,0,0,0,1.0,1,0,61
6.904,2,4,4,0,0,0,1.0,1,0,61
6.904,3,4,4,0,0,0,1.0,1,0,61
6.905,4,4,4,0,0,0,1.0,1,0,61
7.012,0,4,4,0,0,0,1.0,1,0,62
7.013,1,4,4,0,0,0,1.0,1,0,62
7.014,2,4,4,0,0,0,1.0,1,0,62
7.014,3,4,4,0,0,0,1.0,1,0,62
7.015,4,4,4,0,0,0,1.0,1,0,62
7.122,0,4,4,0,0,0,1.0,1,0,63
7.123,1,4,4,0,0,0,1.0,1,0,63
7.124,2,4,4,0,0,0,1.0,1,0,63
7.124,3,4,4,0,0,0,1.0,1,0,63
7.125,4,4,4,0,0,0,1.0,1,0,63
7.232,0,4,4,0,0,0,1.0,1,0,64
7.233,1,4,4,0,0,0,1.0,1,0,64
7.234,3,4,4,0,0,0,1.0,1,0,64
7.234,2,4,4,0,0,0,1.0,1,0,64
7.235,4,4,4,0,0,0,1.0,1,0,64
7.342,0,4,4,0,0,0,1.0,1,0,65
7.343,1,4,4,0,0,0,1.0,1,0,65
7.344,2,4,4,0,0,0,1.0,1,0,65
7.344,3,4,4,0,0,0,1.0,1,0,65
7.345,4,4,4,0,0,0,1.0,1,0,65
7.452,0,4,4,0,0,0,1.0,1,0,66
7.453,1,4,4,0,0,0,1.0,1,0,66
7.454,2,4,4,0,0,0,1.0,1,0,66
7.454,3,4,4,0,0,0,1.0,1,0,66
7.455,4,4,4,0,0,0,1.0,1,0,66
7.562,0,4,4,0,0,0,1.0,1,0,67
7.563,1,4,4,0,0,0,1.0,1,0,67
7.564,2,4,4,0,0,0,1.0,1,0,67
7.564,3,4,4,0,0,0,1.0,1,0,67
7.565,4,4,4,0,0,0,1.0,1,0,67
7.672,0,4,4,0,0,0,1.0,1,0,68
7.673,1,4,4,0,0,0,1.0,1,0,68
7.674,2,4,4,0,0,0,1.0,1,0,68
7.674,3,4,4,0,0,0,1.0,1,0,68
7.675,4,4,4,0,0,0,1.0,1,0,68
7.782,0,4,4,0,0,0,1.0,1,0,69
7.783,1,4,4,0,0,0,1.0,1,0,69
7.784,2,4,2,2,0,0,0.5,1,0,69
7.784,3,4,2,2,0,0,0.5,1,0,69
7.785,4,4,2,2,0,0,0.5,1,0,69
7.892,0,4,1,3,0,0,0.25,0,0,70
7.893,1,4,1,3,0,0,0.25,0,0,70
7.894,2,4,2,2,0,0,0.5,1,0,70
7.894,3,4,2,2,0,0,0.5,1,0,70
7.895,4,4,2,2,0,0,0.5,1,0,70
8.002,0,4,1,3,0,0,0.25,0,0,71
8.003,1,4,1,3,0,0,0.25,0,0,71
8.004,2,4,2,2,0,0,0.5,1,0,71
8.004,3,4,2,2,0,0,0.5,1,0,71
